room_id,room_name,canonical_or_source_label,display_label,editor_room_name,region,biome_id,biome_name,biome_subtheme,streaming_zone_id,streaming_zone_name,compression_class,space_type,role,visual_identity,graybox_note
R19,Abandoned Shack Exterior,Abandoned Shack,Abandoned Shack Exterior,LOD_R19_ABANDONED_SHACK_EXTERIOR,River and Shorelands,B04,River Shorelands,open water and muddy shore,Z07,"Shack, Rapids, and Cave Return",branch-compressed,Exterior structure,Utility stop on the river edge.,"Crooked shack, worn boards, barrel outside, door hardware focus.",Place near water but slightly inland so it reads as a shore-side service stop.
R20,Shack Interior,Shack Interior,Shack Interior,LOD_R20_SHACK_INTERIOR,River and Shorelands,B04,River Shorelands,open water and muddy shore,Z07,"Shack, Rapids, and Cave Return",branch-compressed,Interior micro-room,Tiny storage interior with tool/gear staging.,Small cramped shed interior with vertical clutter.,Model as a one-beat interior with clear reach to the key prop spots.
R21,Rapids,Rapids,Rapids,LOD_R21_RAPIDS,River and Shorelands,B04,River Shorelands,open water and muddy shore,Z07,"Shack, Rapids, and Cave Return",branch-compressed,Water connector,Fast downstream route toward the underground spaces.,"Narrowing river, speed lines, imminent drop.",Prioritize the feeling of channelized flow and a committed direction of travel.
R22,Bottom of Rapids,Bottom of Rapids,Bottom of Rapids,LOD_R22_BOTTOM_OF_RAPIDS,River and Shorelands,B07,Wet Cavern Underworld,wet subterranean hydro,Z07,"Shack, Rapids, and Cave Return",branch-compressed,Underground water chamber,Recovery basin after the waterfall plunge.,"Pool basin, echoing rock, dim reflected light.",Transition from fast motion to calm underground navigation.
R23,Cave,Cave,Cave,LOD_R23_CAVE,River and Shorelands,B07,Wet Cavern Underworld,wet subterranean hydro,Z07,"Shack, Rapids, and Cave Return",branch-compressed,Underground connector,Subterranean continuation of the river route.,Rounded cavern walls and damp floor path.,Treat as a medium connector rather than a huge cave network.
R24,Geyser,Geyser,Geyser,LOD_R24_GEYSER,River and Shorelands,B07,Wet Cavern Underworld,wet subterranean hydro,Z07,"Shack, Rapids, and Cave Return",branch-compressed,Vertical return connector,Returns underground travel to the surface.,"Steam column, shaft opening, bright exit cue.",This is a vertical punctuation mark; exaggerate height and acoustic contrast.
R25,Mudpits,Mudpits,Mudpits,LOD_R25_MUDPITS,River and Shorelands,B04,River Shorelands,open water and muddy shore,Z07,"Shack, Rapids, and Cave Return",branch-compressed,Exterior patch,Messier east-side surface patch that helps spatially round out the shorelands.,"Sticky mud, uneven ground, softer shoreline edge.",Exact adjacency is source-ambiguous; use this as a flexible buffer space near the cave return.
R26,Mine Entrance / King's Station,Mines #1 / upper mines,Mine Entrance / King's Station,LOD_R26_MINE_ENTRANCE_KINGS_STATION,Mines,B06,Industrial Mine Underworks,industrial lava mine,Z08,Upper Mines,loop-compressed,Interior hub,Front door to the mine network and King's home track.,"Track junction, upper-mine cavern, King silhouette.",Needs a clear arrival bay plus one obvious deeper route.
R27,Washing Machine Junction,Mines #2 (normalized),Washing Machine Junction,LOD_R27_WASHING_MACHINE_JUNCTION,Mines,B06,Industrial Mine Underworks,industrial lava mine,Z08,Upper Mines,loop-compressed,Interior junction,Industrial-feeling branch node deeper in the upper mines.,"Washing-machine landmark, branching rails, mechanical clutter.",Use strong prop identity so it is not confused with the water-meter nook.
R28,Water Meter Nook,Mines #3 / water meter area,Water Meter Nook,LOD_R28_WATER_METER_NOOK,Mines,B06,Industrial Mine Underworks,industrial lava mine,Z08,Upper Mines,loop-compressed,Interior side nook,Small clue-focused side chamber.,Prominent meter face and pipework.,Compact alcove with one very readable landmark prop.
R29,House Service Door,Mines #4 / one-way door area,House Service Door,LOD_R29_HOUSE_SERVICE_DOOR,Mines,B06,Industrial Mine Underworks,industrial lava mine,Z08,Upper Mines,loop-compressed,Interior service link,Mine-side access to the house's hidden back route.,"Odd door set into mine wall, more built than natural.",Treat as a maintenance connection between two otherwise different biomes.
R30,Gold Tunnel Approach,Mines #5 / tunnel labeled Gold,Gold Tunnel Approach,LOD_R30_GOLD_TUNNEL_APPROACH,Mines,B06,Industrial Mine Underworks,industrial lava mine,Z09,Lower Mines and Secret Branches,loop-compressed,Interior connector,Transition from upper mines into lower-mine routes.,"Signage, descending track feel, shift toward deeper color values.",Use this to signal a change from local mine to larger network.
R31,Gold Mine Loop,Gold Mine #1-#12 (normalized loop),Gold Mine Loop,LOD_R31_GOLD_MINE_LOOP,Mines,B06,Industrial Mine Underworks,industrial lava mine,Z09,Lower Mines and Secret Branches,loop-compressed,Interior rail network,Main lower-mine loop with multiple possible branch reads.,"Curving rails, repeating mine arches, larger underground scale.",Simplify into a readable loop for open-world use; avoid over-labyrinth complexity.
R32,Gold Pocket,Gold Mine stop / gold excavation point,Gold Pocket,LOD_R32_GOLD_POCKET,Mines,B06,Industrial Mine Underworks,industrial lava mine,Z09,Lower Mines and Secret Branches,loop-compressed,Interior pocket,Specific gold extraction chamber off the lower loop.,"Rock face with visible gold seam, stopped-cart moment.",Small but special; light and color contrast should call out the seam.
R33,Remote Mining Terminal,Remote Mining Terminal,Remote Mining Terminal,LOD_R33_REMOTE_MINING_TERMINAL,Mines,B06,Industrial Mine Underworks,industrial lava mine,Z09,Lower Mines and Secret Branches,loop-compressed,Interior side room,Tech-flavored branch off the lower mines.,"Terminal pedestal, more explicit machinery, tucked-off track access.",Distinct enough to feel like a secret side utility room.
R34,Secret Mines Antechamber,Secret Mines #1,Secret Mines Antechamber,LOD_R34_SECRET_MINES_ANTECHAMBER,Mines,B06,Industrial Mine Underworks,industrial lava mine,Z09,Lower Mines and Secret Branches,loop-compressed,Interior threshold,Sealed-off branch that announces a hidden district.,"Boarded or blocked opening, rougher cut passage.","Even with everything unlocked, keep the reveal energy of a hidden branch."
R35,Secret Mines Interior,Secret Mines #2-#3,Secret Mines Interior,LOD_R35_SECRET_MINES_INTERIOR,Mines,B06,Industrial Mine Underworks,industrial lava mine,Z09,Lower Mines and Secret Branches,loop-compressed,Interior hidden branch,Deepest and most tucked-away mine district.,"Tighter passages, older-looking supports, more secretive tone.",Differentiate from the main lower mines with smaller scale and more isolation.
R36,House Exterior Lift Top,Darkness' House #1 exterior,House Exterior Lift Top,LOD_R36_HOUSE_EXTERIOR_LIFT_TOP,Darkness's House,B08,Canopy House Exterior,canopy platform,Z10,House Platform and Lower Domestic Floor,landmark-expanded,Exterior arrival perch,Upper landing outside the front entry to the house.,"Tree-house platform, rope, basket arrival point, moonlit overlook.",A strong overlook back to the world helps sell global coherence.
R37,Entry Hall,Darkness' House #1 (interior normalized),Entry Hall,LOD_R37_ENTRY_HALL,Darkness's House,B09,Tree-House Interior,domestic-to-surreal tree-house,Z10,House Platform and Lower Domestic Floor,interior-compressed,Interior hub,"First interior node linking kitchen, living room, and stairs.","Warm domestic interior inside a giant tree, front-door foyer energy.",Keep circulation simple and almost dollhouse-clear.
R38,Kitchen,Darkness' Kitchen,Kitchen,LOD_R38_KITCHEN,Darkness's House,B09,Tree-House Interior,domestic-to-surreal tree-house,Z10,House Platform and Lower Domestic Floor,interior-compressed,Interior room,Domestic work room and one of the house's most grounded spaces.,"Overscaled fridge, counters, food character staging, dumbwaiter endpoint.",This should be readable and friendly despite the dark palette.
R39,Living Room,Living Room / Darkness' Living Room,Living Room,LOD_R39_LIVING_ROOM,Darkness's House,B09,Tree-House Interior,domestic-to-surreal tree-house,Z10,House Platform and Lower Domestic Floor,interior-compressed,Interior room,Animated social room with dancing furniture.,"Open lounge layout, couch focus, dance-floor energy.",Allow enough open central floor space for character performance.
R40,Stair Landing / Doors of Knowledge,Darkness' House #2-#3 (normalized),Stair Landing / Doors of Knowledge,LOD_R40_STAIR_LANDING_DOORS_OF_KNOWLEDGE,Darkness's House,B09,Tree-House Interior,domestic-to-surreal tree-house,Z10,House Platform and Lower Domestic Floor,interior-compressed,Interior hub / vertical split,Mid-house checkpoint area that splits to deeper house and bedroom route.,"Wink and Blink, game-show threshold, stair separation.",Critical junction: the player should understand both the forward path and the upward path.
R41,Weird Hallway,Darkness' House #4,Weird Hallway,LOD_R41_WEIRD_HALLWAY,Darkness's House,B09,Tree-House Interior,domestic-to-surreal tree-house,Z11,House Mid Stack and Service Spine,interior-compressed,Interior surreal hub,The house's spatially weird back corridor.,"Skewed geometry, room 3G doorknob, off-kilter layout.",This is where the house stops feeling normal; lean into impossible geometry lightly.
R42,Music Room,Music Room,Music Room,LOD_R42_MUSIC_ROOM,Darkness's House,B09,Tree-House Interior,domestic-to-surreal tree-house,Z11,House Mid Stack and Service Spine,interior-compressed,Interior room,Blue-door performance room.,"Organ, bust, chandelier, theatrical blue-toned identity.",Give it a clear frontal composition so the organ wall reads immediately.
R43,Library,Darkness' House #5 / Library,Library,LOD_R43_LIBRARY,Darkness's House,B09,Tree-House Interior,domestic-to-surreal tree-house,Z11,House Mid Stack and Service Spine,interior-compressed,Interior room,Knowledge room and hidden-passage setup.,"Tall shelves, book wall, book of clues focal point.",Make the shelf-wall readable as both decoration and secret mechanism.
R44,Secret Bookcase Passage,Darkness' House #6 (normalized),Secret Bookcase Passage,LOD_R44_SECRET_BOOKCASE_PASSAGE,Darkness's House,B09,Tree-House Interior,domestic-to-surreal tree-house,Z11,House Mid Stack and Service Spine,interior-compressed,Interior hidden connector,Backside of the library wall and transition into the service core.,"Tighter hidden space, exposed back-of-house feel, magnet spot.",Keep it narrower and more secretive than the rooms it connects.
R45,Lower Junction,Darkness' House #7 (normalized),Lower Junction,LOD_R45_LOWER_JUNCTION,Darkness's House,B09,Tree-House Interior,domestic-to-surreal tree-house,Z11,House Mid Stack and Service Spine,interior-compressed,Interior service hub,"Back-of-house junction linking library passage, laboratory, and mines.",Dual-door basement-like landing with route choice.,This is the structural knot between house and mines; make connections unmistakable.
R46,Laboratory,Darkness' Laboratory,Laboratory,LOD_R46_LABORATORY,Darkness's House,B09,Tree-House Interior,domestic-to-surreal tree-house,Z11,House Mid Stack and Service Spine,interior-compressed,Interior room,Experimental room with potion mixing and dumbwaiter connection.,"Potion setup, colored bottles, machinery, dumbwaiter shaft.",Distinct technical mood inside an otherwise domestic tree-house.
R47,Bedroom Landing,Outside Darkness' Bedroom,Bedroom Landing,LOD_R47_BEDROOM_LANDING,Darkness's House,B09,Tree-House Interior,domestic-to-surreal tree-house,Z12,House Upper Private Rooms,interior-compressed,Interior threshold,Quiet transition before the most private rooms.,"Narrower, calmer upper landing with a strong bedroom door read.",Use compression and lower noise to cue the finale space.
R48,Darkness's Bedroom,Darkness' Bedroom,Darkness's Bedroom,LOD_R48_DARKNESSS_BEDROOM,Darkness's House,B09,Tree-House Interior,domestic-to-surreal tree-house,Z12,House Upper Private Rooms,interior-compressed,Interior room,Private bedroom and emotional mirror to Sam's own room.,"Bedroom props, gentler mood, closet door focus.","This should feel intimate and disarming, not villainous."
R49,Darkness's Closet,Darkness' Closet,Darkness's Closet,LOD_R49_DARKNESSS_CLOSET,Darkness's House,B09,Tree-House Interior,domestic-to-surreal tree-house,Z12,House Upper Private Rooms,interior-compressed,Interior finale room,Final small room where the fantasy threat resolves into friendship.,"Tiny enclosed closet chamber, intimate final reveal.",Keep intentionally small so the scale drop feels personal and safe.
